wavelength_nm,R30,R45,R60
4.580576781999999980e+02,3.137279706433196425e-01,3.329267454720720165e-01,1.132513671921632437e+00
4.581722411999999736e+02,3.137329209470685609e-01,3.330612106014278484e-01,1.132475494323754717e+00
4.582868042000000059e+02,3.136990606668233483e-01,3.329217538428557721e-01,1.133535998008249557e+00
4.584013671999999815e+02,3.133963935382306776e-01,3.331688732157156441e-01,1.134810635485206554e+00
4.585159302000000139e+02,3.134817314237583474e-01,3.335253013553298174e-01,1.135558300055904635e+00
4.586304931999999894e+02,3.133685555039592008e-01,3.339334979066527209e-01,1.136688462583408388e+00
4.587450562000000218e+02,3.134719315029343978e-01,3.339207599633645662e-01,1.136812519591053450e+00
4.588596496999999772e+02,3.136366855600460912e-01,3.342331760349357972e-01,1.138211045281988021e+00
4.589742125999999871e+02,3.140756336194258092e-01,3.342638285473253368e-01,1.138793256348228589e+00
4.590888062000000218e+02,3.142708195610748323e-01,3.348152086188002641e-01,1.139759999566493098e+00
4.592033996999999772e+02,3.142851803448980519e-01,3.351988393113071729e-01,1.140561929558831844e+00
4.593179931999999894e+02,3.143355394412227222e-01,3.349937896025252382e-01,1.138276492356250502e+00
4.594325867000000017e+02,3.144518699701683850e-01,3.354081245961904600e-01,1.137363631656230334e+00
4.595472106999999937e+02,3.145113539598997643e-01,3.355662624191598220e-01,1.137971349203025451e+00
4.596618042000000059e+02,3.143056883088586884e-01,3.358240569832157130e-01,1.136699589995467496e+00
4.597764281999999980e+02,3.144497929100784073e-01,3.359104090742133231e-01,1.137142833181650214e+00
4.598910217000000102e+02,3.144053436434183224e-01,3.358990372327198548e-01,1.137328284535664036e+00
4.600056458000000248e+02,3.148520164332170301e-01,3.360419859657723385e-01,1.138032977433579340e+00
4.601202698000000169e+02,3.149676403156081439e-01,3.362912094682740105e-01,1.138027040031568626e+00
4.602348938000000089e+02,3.153675412886425833e-01,3.362555740977111740e-01,1.139181699087265631e+00
4.603495482999999808e+02,3.152781198900513893e-01,3.365227409070615794e-01,1.139880135929426830e+00
4.604641723999999954e+02,3.156219111699269941e-01,3.367247271384424812e-01,1.140728347892855599e+00
4.605788269000000241e+02,3.158001971759187287e-01,3.368974289150621360e-01,1.139955362378946013e+00
4.606934509000000162e+02,3.156992151719903994e-01,3.372177369050515794e-01,1.141141564899053717e+00
4.608081055000000106e+02,3.160012789087718321e-01,3.374565912994957895e-01,1.140099343674191967e+00
4.609227599999999825e+02,3.164433614194584465e-01,3.373896323334214520e-01,1.139503411101695951e+00
4.610374145999999769e+02,3.169626794089986377e-01,3.374371615448452655e-01,1.140173948607605459e+00
4.611520995999999855e+02,3.173240840770100157e-01,3.375585226358633339e-01,1.142778709992458230e+00
4.612667541999999798e+02,3.173990112481759884e-01,3.380523642688713637e-01,1.142973942895573414e+00
4.613814087000000086e+02,3.175686242676140081e-01,3.382639806491792855e-01,1.145137788525855571e+00
4.614960937999999828e+02,3.177521799299334870e-01,3.386040801568154235e-01,1.145890499371432947e+00
4.616107787999999914e+02,3.177853305588327348e-01,3.387243421291242229e-01,1.146345797142669154e+00
4.617254639000000225e+02,3.176581207810177943e-01,3.389403441983139809e-01,1.147295725747521145e+00
4.618401488999999742e+02,3.176292351018933369e-01,3.388966814709862829e-01,1.144816925920139505e+00
4.619548340000000053e+02,3.174668263077763952e-01,3.391611664809145998e-01,1.144763983356411829e+00
4.620695496000000162e+02,3.174414800622482047e-01,3.392837279022438146e-01,1.145276596177015271e+00
4.621842346000000248e+02,3.180326570298100397e-01,3.387558284245735796e-01,1.143931375170362585e+00
