wavelength_nm,R30,R45,R60
4.687290039000000093e+02,3.114477222580230298e-01,3.326251750254934358e-01,1.182983325221772741e+00
4.688439331000000152e+02,2.984148557019228876e-01,3.564403890418582077e-01,1.131079684697980481e+00
4.689588928000000010e+02,3.320761579716697831e-01,3.329221569956274940e-01,1.116191557790544797e+00
4.690738220000000069e+02,2.993024809512738194e-01,3.444823197644216184e-01,1.161349777476801348e+00
4.691887816999999927e+02,3.097575260976636602e-01,3.526087911107563810e-01,1.179120276120475985e+00
4.693037415000000010e+02,3.151964665052451320e-01,3.245271071690002951e-01,1.140758963488335720e+00
4.694187011999999868e+02,2.957659224052791025e-01,3.385618700868823772e-01,1.291333593857441286e+00
4.695336608999999726e+02,2.790473877929520730e-01,3.412001601065985934e-01,1.209053915343641039e+00
4.696486206000000152e+02,2.987054032932811021e-01,3.402870855227996261e-01,1.184012930428588461e+00
4.697636107999999808e+02,2.914393784794797049e-01,3.359065361146523210e-01,1.071690909741380704e+00
4.698785705999999891e+02,3.119318654989182704e-01,3.058394895530466284e-01,1.168710529557142941e+00
4.699935608000000116e+02,3.186855803186993685e-01,3.382198597887344227e-01,1.070952095606462429e+00
4.701085509999999772e+02,3.061440042576081266e-01,3.234000723005375222e-01,1.103420748028230536e+00
4.702235413000000221e+02,3.056805332613228843e-01,3.308235695125432141e-01,1.117701263011193769e+00
4.703385314999999878e+02,3.162363855087928499e-01,3.140710326496774507e-01,1.179298985599193550e+00
4.704535217000000102e+02,3.176758597205545098e-01,3.455214866484775937e-01,1.325883841667544250e+00
4.705685119999999984e+02,3.208594223345635488e-01,3.270681470040947558e-01,1.141183709410722225e+00
4.706835327000000007e+02,3.190739981056683883e-01,3.266173212843604956e-01,1.115501596692520137e+00
4.707985229000000231e+02,2.728295116558334676e-01,3.743866739838030422e-01,1.259750921470549123e+00
4.709135436999999911e+02,3.112430509323083072e-01,3.771504389119204048e-01,1.175600042181013549e+00
4.710285645000000159e+02,3.234507522899252030e-01,3.337993800156991431e-01,1.220723679618203938e+00
4.711435852000000182e+02,3.010831786964739409e-01,3.230495304517394528e-01,1.184097684472364964e+00
4.712586059999999861e+02,3.032683458261354881e-01,3.335750972700459172e-01,1.190230885284011331e+00
4.713736266999999884e+02,3.107108771170139505e-01,3.196802472000844775e-01,1.176362217797916054e+00
4.714886475000000132e+02,2.994689421112209371e-01,3.459088108843352272e-01,1.184659718547510732e+00
4.716036986999999954e+02,3.200799574990947916e-01,3.370943880463495024e-01,1.233729548794106901e+00
4.717187500000000000e+02,3.116309569688934245e-01,3.526248806993485529e-01,1.213581852024933516e+00
4.718337708000000248e+02,3.203615731163133029e-01,3.233637466540811856e-01,1.172467537507109192e+00
4.719488220000000069e+02,3.169402690658295052e-01,3.317163909513997644e-01,1.261961530699302392e+00
4.720638733000000116e+02,3.006347344533811805e-01,3.519794837801637488e-01,1.210269627088853772e+00
4.721789246000000162e+02,3.043654676431765682e-01,3.523660136036085300e-01,1.182121090834061805e+00
4.722940062999999782e+02,3.158971350529314881e-01,3.343027215317423417e-01,1.102819166140503127e+00
4.724090575999999828e+02,3.046021335302654953e-01,3.642862339457116350e-01,1.248437850436199703e+00
4.725241394000000241e+02,3.099108394933726141e-01,3.596996183259612012e-01,1.184169312311758704e+00
4.726391906999999719e+02,3.322812675350773626e-01,3.416081595024422213e-01,1.327029863785395891e+00
4.727542725000000132e+02,3.078764844778570930e-01,3.479034370307679258e-01,1.137626476297208367e+00
4.728693541999999752e+02,3.325340502617772365e-01,3.602145676080701353e-01,1.060270302106627760e+00
4.729844360000000165e+02,3.269507922197596450e-01,3.466696421750981583e-01,1.083626732057251241e+00
4.730995178000000010e+02,3.127980408315522154e-01,3.580658514161208505e-01,1.141155062824498856e+00
4.732146301000000221e+02,3.139482301552431465e-01,3.357765896626211943e-01,1.162296483190244256e+00
